osID,title,ai_health_related,nlp_health_related,ai_disease_areas,nlp_disease_areas,agree_health,agree_areas,any_overlap,ai_only_areas,nlp_only_areas
OS-118,Aim 1: Determine the effects of combined mechanical loading and zoledronate on skeletal structure and bone remodeling during simulated weightlessness,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-119,Aim 2: Demonstrate whether the methylation status of key bone remodeling gene promoters are modulated in response to various levels of mechanical loading during simulated spaceflight,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-12,SLS-2 Regulation of Blood Volume During Spaceflight experiment data,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,
OS-121,1. Virulence and Persistence Data for Salmonella Typhimurium using the human surrogate host C. elegans,True,False,,,False,True,False,,
OS-122,"2. Virulence and Persistence Data for the ISS potable water isolate, Burkholderia multivorans, using the human surrogate host C. elegans",False,False,,,True,True,False,,
OS-123,3. Virulence Data for multidrug resistant Staphylococcus aureus using the human surrogate host C. elegans,True,False,,,False,True,False,,
OS-124,Quantitative PCR Raw Data,True,False,Cancer; Endocrine and metabolic diseases,,False,False,False,Cancer; Endocrine and metabolic diseases,
OS-125,SporeSat2 Ground Experiments – ZeroDay Results,False,False,,,True,True,False,,
OS-126,Center for Space Radiation Research - Long Evans rats exposed to protons or oxygen ions,True,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Cancer; Cardiovascular diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Neurological diseases
OS-127,Effect of spaceflight on vertebral bone in ovariectomized rats,True,True,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases; Women's health,Endocrine and metabolic diseases,True,False,True,Musculoskeletal diseases; Neurological diseases; Women's health,
OS-128,"Center for Space Radiation Research - Male C57BL/6 mice exposed to protons, oxygen ions, or gamma-rays",True,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Cancer; Cardiovascular diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Neurological diseases
OS-129,Differentiation of Bone Marrow Macrophages in Space (BONEMAC) Bioreactor video,True,False,Cancer; Musculoskeletal diseases,,False,False,False,Cancer; Musculoskeletal diseases,
OS-13,SLS-2 Regulation of Erythropoiesis During Spaceflight experiment data,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-130,Effects of Spaceflight on Bone Microarchitecture in the Axial and Appendicular Skeleton in Growing Ovariectomized Rats,True,True,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases,Endocrine and metabolic diseases; Musculoskeletal diseases; Rare inherited disorders,True,False,True,Neurological diseases,Rare inherited disorders
OS-132,"Bone Marrow Adipose Tissue Deficiency Increases 
Disuse-Induced Bone Loss in Male Mice",True,True,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases,Endocrine and metabolic diseases; Musculoskeletal diseases; Rare inherited disorders,True,False,True,Neurological diseases,Rare inherited disorders
OS-133,Center for Space Radiation Research – Male C57BL/6 mice exposed to oxygen ions and treated with the countermeasure γ-tocotrienol (GT3),True,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Cancer; Cardiovascular diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Neurological diseases
OS-134,Center for Space Radiation Research – Female C57BL/6 mice exposed to oxygen ions,True,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases; Women's health,Cancer; Cardiovascular diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases; Women's health,Neurological diseases
OS-135,Effect of Hindlimb Unloading on Bone in Male Leptin Deficient Mice,True,True,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases,Endocrine and metabolic diseases; Musculoskeletal diseases; Rare inherited disorders,True,False,True,Neurological diseases,Rare inherited disorders
OS-136,"Head-Down Tilt As a Model for Intracranial and Intraocular Pressures, and Retinal Changes during Spaceflight",True,False,Eye diseases; Mental health; Neurological diseases; Women's health,,False,False,False,Eye diseases; Mental health; Neurological diseases; Women's health,
OS-137,Center for Space Radiation Research – Male New Zealand White rabbits exposed to a single dose of protons or oxygen ions,True,True,Cancer; Cardiovascular diseases; Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Cancer; Cardiovascular diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases; Eye diseases; Musculoskeletal diseases,Neurological diseases
OS-138,"Echocardiography and Oxygraph analysis of the mouse and rat heart after exposure to chronic neutrons, silicon ions, with and without the administration of aspirin as a potential countermeasure",True,True,Cancer; Cardiovascular diseases; Women's health,Cancer; Cardiovascular diseases,True,False,True,Women's health,
OS-14,"SLS-2 Bone, Calcium, and Spaceflight experiment data",True,False,Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,
OS-140,Space Flight Environment Induces Remodeling of Vascular Network and Glia-Vascular Communication in Mouse Retina,True,True,Cardiovascular diseases; Eye diseases; Women's health,Neurological diseases,True,False,False,Cardiovascular diseases; Eye diseases; Women's health,Neurological diseases
OS-141,RR-1 Validation Mission - Lumbar Spine Bone Microarchitecture,True,False,Mental health; Musculoskeletal diseases; Women's health,,False,False,False,Mental health; Musculoskeletal diseases; Women's health,
OS-142,Long-Term Effects of Very Low Dose Particle Radiation on Gene Expression in the Heart: Degenerative Disease Risks,True,True,Cancer; Cardiovascular diseases; Women's health,Cardiovascular diseases,True,False,True,Cancer; Women's health,
OS-143,Leukin: How T-Cells Functions in Space,True,False,Cancer; Endocrine and metabolic diseases; Rare inherited disorders,,False,False,False,Cancer; Endocrine and metabolic diseases; Rare inherited disorders,
OS-144,Effects of Weightlessness on the Embryonic Development and Aging of Drosophila,True,False,Kidney diseases; Musculoskeletal diseases,,False,False,False,Kidney diseases; Musculoskeletal diseases,
OS-145,Cosmic Ray Effect on the Eyes of Rats Flown on Cosmos 782,True,False,Eye diseases,,False,False,False,Eye diseases,
OS-146,Absence of Gastric Ulceration in Rats After Flight on the Cosmos 782,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-147,Alterations in Erythrocyte Survival Parameters in Rats After 19.5 Days Aboard Cosmos 782,True,False,Mental health,,False,False,False,Mental health,
OS-148,Effects of Spaceflight on Plasma and Glandular Concentrations of Pituitary Hormones,True,True,Endocrine and metabolic diseases,Musculoskeletal diseases,True,False,False,Endocrine and metabolic diseases,Musculoskeletal diseases
OS-149,Killifish Development in Zero-G on Cosmos 782,True,True,Mental health; Neurological diseases,Neurological diseases,True,False,True,Mental health,
OS-15,Animal Studies on Spacelab-3 experiment data,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Mental health; Musculoskeletal diseases,
OS-150,Effect of Spaceflight on Cell-Mediated Immunity,True,True,Cancer; Rare inherited disorders,Cancer,True,False,True,Rare inherited disorders,
OS-151,Results of Histological Examination of Inguinal Lymph Nodes,True,False,Cancer; Endocrine and metabolic diseases; Rare inherited disorders,,False,False,False,Cancer; Endocrine and metabolic diseases; Rare inherited disorders,
OS-152,Histological Studies on the Tibial Bone of Rats in the 1975 Cosmos 782 Flight: I. Endochondral Osteogenesis; Medullary Bone Turnover,True,True,Musculoskeletal diseases,Musculoskeletal diseases; Neurological diseases,True,False,True,,Neurological diseases
OS-153,Histological Studies on the Tibial Bone of Rats in the 1975 Cosmos 782 Flight: II. Micrographic Study of the Cortical Bone,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-154,"Mineralization in Teeth and Jaws, as Judged Radiographically, in the Rats of the Cosmos 782 Experiment",True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-155,Quantitative Analysis of Selected Bone Parameters,True,True,Musculoskeletal diseases,Musculoskeletal diseases,True,True,True,,
OS-156,The Morphogenetic Responses of Cultured Totipotent Cells of Carrot at Zero Gravity,False,False,,,True,True,False,,
OS-157,Response of Crown Gall Tissue to the Space Environment: Residual Carbohydrates in Supporting Tissue,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-158,Response of Crown Gall Tissue to the Space Environment: Tumor Development and Anatomy,True,True,Cancer,Cancer,True,True,True,,
OS-159,Response of Crown Gall Tissue to the Space Environment: Glutamine Synthetase Activity,True,True,Cancer; Endocrine and metabolic diseases,Cancer,True,False,True,Endocrine and metabolic diseases,
OS-16,SL-3 Otoconial Morphology in Space-Flown Rats,True,True,Eye diseases,Endocrine and metabolic diseases,True,False,False,Eye diseases,Endocrine and metabolic diseases
OS-160,Responses of Crown Gall Tissue to the Space Environment: Isozyme Patterns,True,True,Cancer,Cancer,True,True,True,,
OS-161,HZE-Particle Dosimetry,True,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,,False,False,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,
OS-162,Effect of Weightlessness and Centrifugation (1xG) on Erythrocyte Survival in Rats Subjected to Prolonged Spaceflight,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases,
OS-163,Quantitative Analysis of Selected Bone Parameters,True,True,Musculoskeletal diseases,Musculoskeletal diseases,True,True,True,,
OS-164,Quantitative Analysis of Selected Bone Parameters: Formation of Ectopic Bone in Implanted Matrices,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-165,Spaceflight Effects on Muscle Fibers,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-166,Space Radiation Dosimetry On Board Cosmos 936,True,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,,False,False,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,
OS-167,Cosmic Ray Effects on the Eyes of Stationary and Centrifuged Rats Flown on Cosmos 936,True,True,Eye diseases,Eye diseases; Neurological diseases,True,False,True,,Neurological diseases
OS-168,Effects of Weightlessness on the Genetic and Aging Process of Drosophila melanogaster,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-169,The Effects of Spaceflight on Some Liver Enzymes Concerned with Carbohydrate and Lipid Metabolism in the Rat,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-17,SL-3 Small Rat Amino Acids (nmol/mg protien),True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-170,Rat and Quail Ontogenesis,True,True,Women's health,Endocrine and metabolic diseases,True,False,False,Women's health,Endocrine and metabolic diseases
OS-171,Space Radiation Dosimetry Aboard Cosmos 1129: U.S. Portion of the Experiment,True,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,,False,False,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,
OS-172,Studies of Specific Hepatic Enzymes and Liver Constituents Involved in the Conversion of Carbohydrates to Lipids in Rats Exposed to Prolonged Spaceflight,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-173,Studies of the Nasal Mucosa,True,False,Endocrine and metabolic diseases; Neurological diseases,,False,False,False,Endocrine and metabolic diseases; Neurological diseases,
OS-174,Effects of Weightlessness on Body Composition in the Rat,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-175,Fetal and Neonatal Rat Bone and Joint Development Following In Utero Spaceflight,True,True,Musculoskeletal diseases; Rare inherited disorders; Women's health,Musculoskeletal diseases; Rare inherited disorders,True,False,True,Women's health,
OS-176,Quantitative Analysis of Selected Bone Parameters,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-177,Quantitative Analysis of Selected Bone Parameters: Supplemental Report 1: Effects of Weightlessness on Osteoblast,True,False,Cancer; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Mental health; Musculoskeletal diseases,
OS-178,Quantitative Analysis of Selected Bone Parameters: Bone Elongation Rate and Bone Mass in Metaphysis of Long Bones,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-179,Quantitative Analysis of Selected Bone Parameters: Trabecular Spacing and Orientation in the Long Bones,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-18,"SL-3 Small Rat Muscle (glycogen, lactate, malate, and fumarate)",True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-180,Quantitative Analysis of Selected Bone Parameters: Mineralization in the Long Bones,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-181,Vertebral Body Strength of Rat Spinal Columns,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-182,Automatic Analysis of Muscle Fibers from Rats Subjected to Spaceflight,True,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases,True,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases
OS-183,The Effect of Spaceflight on Osteogenesis and Dentinogenesis in the Mandibles of Rats,True,False,Mental health; Musculoskeletal diseases,,False,False,False,Mental health; Musculoskeletal diseases,
OS-184,The Effect of Spaceflight on Osteogenesis and Dentinogenesis in the Mandible of Rats: Supplement 1: The Effects of Spaceflight on Alveolar Bone Remodeling in the Rat Mandible,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-185,Bone Resorption in Rats During Spaceflight,True,False,Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Kidney diseases; Musculoskeletal diseases,
OS-186,Long-Term Effects of Weightlessness on a Biological System,True,True,Cancer; Endocrine and metabolic diseases,Cancer,True,False,True,Endocrine and metabolic diseases,
OS-187,Long Term Effects of Weightlessness on a Biological System-Isoenzyme Analysis: Supplemental Report,True,True,Cancer,Cancer,True,True,True,,
OS-188,Growth and Development of Carrot Cells and Embryos in Space,False,False,,,True,True,False,,
OS-189,"Cardiovascular Results from a Rhesus Monkey Flown Aboard the Cosmos 1514 Spaceflight, and Ground-Based Controls",True,False,Cardiovascular diseases,,False,False,False,Cardiovascular diseases,
OS-19,SL-3 Small Rat Fresh Weight and Total Protien,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-190,Early Postnatal Development of Rats Exposed In Utero to Microgravity,True,False,Mental health; Neurological diseases; Women's health,,False,False,False,Mental health; Neurological diseases; Women's health,
OS-191,"Developmental Morphology of the Eye, Vestibular System, and Brain in 18-Day Fetal and Newborn Rats Exposed In Utero to Null Gravity During the Flight of Cosmos 1514",True,False,Eye diseases; Neurological diseases; Women's health,,False,False,False,Eye diseases; Neurological diseases; Women's health,
OS-192,Synchronization of Primate Circadian Rhythms in Space,True,False,Mental health,,False,False,False,Mental health,
OS-193,Effect of Microgravity on Blood Pressure and Flow in the Common Carotid Artery of Primates,True,False,Cardiovascular diseases; Neurological diseases,,False,False,False,Cardiovascular diseases; Neurological diseases,
OS-194,Morphological and Biochemical Examination of Heart Tissue: I. Effects of Microgravity on the Myocardial Fine Structure of Rats Flown on Cosmos 1887 - Ultrastructure Studies,True,True,Cardiovascular diseases; Musculoskeletal diseases,Musculoskeletal diseases; Neurological diseases,True,False,True,Cardiovascular diseases,Neurological diseases
OS-195,Morphological and Biochemical Examination of Heart Tissue: II. Cellular Distribution of Cyclic AMP-Dependent Protein Kinase Regulatory Subunits in Heart Muscle of Rats Flown on Cosmos 1887,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-196,Morphological and Biochemical Investigations of Microgravity-Induced Nerve and Muscle Breakdown: I. Investigation of Nerve and Muscle Breakdown During Spaceflight,True,True,Musculoskeletal diseases,Musculoskeletal diseases; Neurological diseases,True,False,True,,Neurological diseases
OS-197,Morphological and Biochemical Investigations of Microgravity-Induced Nerve and Muscle Breakdown: II. Biochemical Analysis of EDL and PLT Muscles,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-198,Effects of Zero Gravity on Myofibril Protein Content and Isomyosin Distribution in Rodent Skeletal Muscle,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-199,Actin mRNA and Cytochrome-C mRNA Concentrations in the Triceps Brachia Muscle of Rats,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-2,Electron Microscopy Images; Metabolic and Structural Changes in Bone and Systems Regulating Bone Growth and Metabolism,True,True,Endocrine and metabolic diseases; Mental health; Musculoskeletal diseases,Musculoskeletal diseases,True,False,True,Endocrine and metabolic diseases; Mental health,
OS-20,IML-2 Early Development of a Gravity-Receptor Organ in Microgravity experiment data,True,False,Eye diseases,,False,False,False,Eye diseases,
OS-200,Analysis of Radiographs and Biosamples from Primate Studies,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-201,"Study of Muscarinic and GABA (Benzodiazepine) Receptors in the Sensory-Motor Cortex, Hippocampus, and Spinal Cord",True,False,Mental health; Musculoskeletal diseases; Neurological diseases,,False,False,False,Mental health; Musculoskeletal diseases; Neurological diseases,
OS-202,Radiation Dosimetry and Spectrometry,True,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,,False,False,False,Cancer; Cardiovascular diseases; Eye diseases; Neurological diseases,
OS-203,Trace Element Balance in Rats During Spaceflight,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-204,Morphometric Studies of Atrial Granules and Hepatocytes: I. Morphometric Study of the Liver,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-205,Morphometric Studies of Atrial Granules and Hepatocytes: II. Atrial Granular Accumulations,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Kidney diseases,
OS-206,Hepatic Function in Rats After Spaceflight,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-207,The Effect of Cosmos 1887 Flight on Spermatogonial Population and Testosterone Level in Rat Testes,True,False,Cancer; Endocrine and metabolic diseases; Women's health,,False,False,False,Cancer; Endocrine and metabolic diseases; Women's health,
OS-208,Effect of Spaceflight on Levels and Function of Immune Cells,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-209,Structural Changes and Cell Turnover in the Rat's Small Intestine Induced by Spaceflight,True,True,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases,True,False,False,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases
OS-21,Autogenic Feedback Training Experiment (AFTE) ambulatory recordings of all subjects during SL-3 and SL-J,True,False,Cardiovascular diseases; Mental health; Neurological diseases,,False,False,False,Cardiovascular diseases; Mental health; Neurological diseases,
OS-210,Pineal Physiology in Microgravity: Relation to Rat Gonadal Function,True,False,Endocrine and metabolic diseases; Mental health,,False,False,False,Endocrine and metabolic diseases; Mental health,
OS-211,The Effect of Spaceflight on Pituitary Oxytocin and Vasopressin Content of Rats,True,False,Endocrine and metabolic diseases; Neurological diseases,,False,False,False,Endocrine and metabolic diseases; Neurological diseases,
OS-212,Effect of Microgravity on: I. Metabolic Enzymes of Individual Muscle Fibers,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-213,Effect of Microgravity on: II. Metabolic Enzymes of Hippocampus and Spinal Cord,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases; Neurological diseases,
OS-214,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: I. Somatotroph Physiology",True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-215,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: II. Immunohistochemical Analysis of Hypothalamic Hormones",True,False,Endocrine and metabolic diseases; Neurological diseases,,False,False,False,Endocrine and metabolic diseases; Neurological diseases,
OS-216,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: III. Plasma Analysis",True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-217,Distribution and Biochemistry of Mineral and Matrix in the Femurs of Rats,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-218,"Biomedical, Biochemical, and Morphological Alterations of Muscle and Dense, Fibrous Connective Tissues During 14 Days of Spaceflight",True,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Musculoskeletal diseases; Neurological diseases,True,False,True,Endocrine and metabolic diseases,Neurological diseases
OS-219,Gravity and Skeletal Growth: I. Gravity and Skeletal Growth,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-22,SL-J Effect of Weightlessness on Development of Amphibian Eggs experiment data,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-220,Gravity and Skeletal Growth: II.  Morphology and Histochemistry of Bone Cells and Vasculature of the Tibia from Cosmos 1887,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-221,Gravity and Skeletal Growth: III. Nuclear Volume Analysis of Osteoblast Histogenesis in Periodontal Ligament Cells of Cosmos 1887 Rats,True,False,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-222,Gravity and Skeletal Growth: IV.  Intervertebral Disc Swelling Pressure Associated with Microgravity,True,True,Musculoskeletal diseases,Neurological diseases,True,False,False,Musculoskeletal diseases,Neurological diseases
OS-223,The Maturation of Bone and Dentin Matrices in Rats Flown on Cosmos 1887,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-224,Morphometric and EM Analysis of Tibial Epiphyseal Plates From Cosmos 1887 Rats,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-225,Metabolic and Morphologic Properties of Muscle Fibers After Spaceflight,True,False,Endocrine and metabolic diseases; Musculoskeletal diseases,,False,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,
OS-226,Biochemical and Histochemical Observations of Vastus Medialis,True,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases,True,False,False,Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases
OS-227,Adaptation of Optokinetic Nystagmus to Microgravity,True,True,Eye diseases; Neurological diseases,Eye diseases; Neurological diseases,True,True,True,,
