osID,title,tier,tier_label,health_related,disease_areas,primary_disease_area,nlp_classified,ai_classified,ai_confidence,nlp_mesh_evidence,classification_source
OS-157,Response of Crown Gall Tissue to the Space Environment: Residual Carbohydrates in Supporting Tissue,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-158,Response of Crown Gall Tissue to the Space Environment: Tumor Development and Anatomy,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009369|D013724,nlp+ai
OS-159,Response of Crown Gall Tissue to the Space Environment: Glutamine Synthetase Activity,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009369,nlp+ai
OS-160,Responses of Crown Gall Tissue to the Space Environment: Isozyme Patterns,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009369,nlp+ai
OS-161,HZE-Particle Dosimetry,2,Probable,True,Cancer; Neurological diseases; Eye diseases; Cardiovascular diseases,Cancer,False,True,0.9,,ai_high
OS-162,Effect of Weightlessness and Centrifugation (1xG) on Erythrocyte Survival in Rats Subjected to Prolonged Spaceflight,2,Probable,True,Cardiovascular diseases; Kidney diseases; Endocrine and metabolic diseases,Cardiovascular diseases,False,True,0.85,,ai_high
OS-163,Quantitative Analysis of Selected Bone Parameters,1,Confirmed,True,Musculoskeletal diseases,Musculoskeletal diseases,True,True,0.9,D010024,nlp+ai
OS-164,Quantitative Analysis of Selected Bone Parameters: Formation of Ectopic Bone in Implanted Matrices,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-165,Spaceflight Effects on Muscle Fibers,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-166,Space Radiation Dosimetry On Board Cosmos 936,2,Probable,True,Cancer; Neurological diseases; Eye diseases; Cardiovascular diseases,Cancer,False,True,0.95,,ai_high
OS-167,Cosmic Ray Effects on the Eyes of Stationary and Centrifuged Rats Flown on Cosmos 936,1,Confirmed,True,Eye diseases; Neurological diseases,Eye diseases,True,True,0.9,D002386|D001929,nlp+ai
OS-168,Effects of Weightlessness on the Genetic and Aging Process of Drosophila melanogaster,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-169,The Effects of Spaceflight on Some Liver Enzymes Concerned with Carbohydrate and Lipid Metabolism in the Rat,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-170,Rat and Quail Ontogenesis,0,Not health-related,False,,,True,True,0.9,,none
OS-171,Space Radiation Dosimetry Aboard Cosmos 1129: U.S. Portion of the Experiment,2,Probable,True,Cancer; Cardiovascular diseases; Neurological diseases; Eye diseases,Cancer,False,True,0.95,,ai_high
OS-172,Studies of Specific Hepatic Enzymes and Liver Constituents Involved in the Conversion of Carbohydrates to Lipids in Rats Exposed to Prolonged Spaceflight,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-173,Studies of the Nasal Mucosa,2,Probable,True,Neurological diseases; Endocrine and metabolic diseases,Neurological diseases,False,True,0.9,,ai_high
OS-174,Effects of Weightlessness on Body Composition in the Rat,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-175,Fetal and Neonatal Rat Bone and Joint Development Following In Utero Spaceflight,1,Confirmed,True,Musculoskeletal diseases; Rare inherited disorders,Musculoskeletal diseases,True,True,0.9,D006618,nlp+ai
OS-176,Quantitative Analysis of Selected Bone Parameters,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-177,Quantitative Analysis of Selected Bone Parameters: Supplemental Report 1: Effects of Weightlessness on Osteoblast,2,Probable,True,Cancer; Musculoskeletal diseases; Mental health,Cancer,False,True,0.9,,ai_high
OS-178,Quantitative Analysis of Selected Bone Parameters: Bone Elongation Rate and Bone Mass in Metaphysis of Long Bones,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-179,Quantitative Analysis of Selected Bone Parameters: Trabecular Spacing and Orientation in the Long Bones,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-180,Quantitative Analysis of Selected Bone Parameters: Mineralization in the Long Bones,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-181,Vertebral Body Strength of Rat Spinal Columns,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-182,Automatic Analysis of Muscle Fibers from Rats Subjected to Spaceflight,0,Not health-related,False,,,True,True,0.9,,none
OS-183,The Effect of Spaceflight on Osteogenesis and Dentinogenesis in the Mandibles of Rats,2,Probable,True,Musculoskeletal diseases; Mental health,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-184,The Effect of Spaceflight on Osteogenesis and Dentinogenesis in the Mandible of Rats: Supplement 1: The Effects of Spaceflight on Alveolar Bone Remodeling in the Rat Mandible,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-185,Bone Resorption in Rats During Spaceflight,2,Probable,True,Kidney diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-186,Long-Term Effects of Weightlessness on a Biological System,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009369,nlp+ai
OS-187,Long Term Effects of Weightlessness on a Biological System-Isoenzyme Analysis: Supplemental Report,1,Confirmed,True,Cancer,Cancer,True,True,0.9,D009369,nlp+ai
OS-188,Growth and Development of Carrot Cells and Embryos in Space,0,Not health-related,False,,,False,False,0.75,,none
OS-189,"Cardiovascular Results from a Rhesus Monkey Flown Aboard the Cosmos 1514 Spaceflight, and Ground-Based Controls",2,Probable,True,Cardiovascular diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-190,Early Postnatal Development of Rats Exposed In Utero to Microgravity,2,Probable,True,Neurological diseases; Women's health; Mental health,Neurological diseases,False,True,0.9,,ai_high
OS-191,"Developmental Morphology of the Eye, Vestibular System, and Brain in 18-Day Fetal and Newborn Rats Exposed In Utero to Null Gravity During the Flight of Cosmos 1514",2,Probable,True,Neurological diseases; Eye diseases; Women's health,Neurological diseases,False,True,0.9,,ai_high
OS-192,Synchronization of Primate Circadian Rhythms in Space,2,Probable,True,Mental health,Mental health,False,True,0.9,,ai_high
OS-193,Effect of Microgravity on Blood Pressure and Flow in the Common Carotid Artery of Primates,2,Probable,True,Cardiovascular diseases; Neurological diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-194,Morphological and Biochemical Examination of Heart Tissue: I. Effects of Microgravity on the Myocardial Fine Structure of Rats Flown on Cosmos 1887 - Ultrastructure Studies,1,Confirmed,True,Musculoskeletal diseases; Neurological diseases,Musculoskeletal diseases,True,True,0.9,D009133|D020966,nlp+ai
OS-195,Morphological and Biochemical Examination of Heart Tissue: II. Cellular Distribution of Cyclic AMP-Dependent Protein Kinase Regulatory Subunits in Heart Muscle of Rats Flown on Cosmos 1887,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-196,Morphological and Biochemical Investigations of Microgravity-Induced Nerve and Muscle Breakdown: I. Investigation of Nerve and Muscle Breakdown During Spaceflight,1,Confirmed,True,Musculoskeletal diseases; Neurological diseases,Musculoskeletal diseases,True,True,0.9,D018908,nlp+ai
OS-197,Morphological and Biochemical Investigations of Microgravity-Induced Nerve and Muscle Breakdown: II. Biochemical Analysis of EDL and PLT Muscles,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-198,Effects of Zero Gravity on Myofibril Protein Content and Isomyosin Distribution in Rodent Skeletal Muscle,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-199,Actin mRNA and Cytochrome-C mRNA Concentrations in the Triceps Brachia Muscle of Rats,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-200,Analysis of Radiographs and Biosamples from Primate Studies,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-201,"Study of Muscarinic and GABA (Benzodiazepine) Receptors in the Sensory-Motor Cortex, Hippocampus, and Spinal Cord",2,Probable,True,Neurological diseases; Mental health; Musculoskeletal diseases,Neurological diseases,False,True,0.95,,ai_high
OS-202,Radiation Dosimetry and Spectrometry,2,Probable,True,Cancer; Cardiovascular diseases; Neurological diseases; Eye diseases,Cancer,False,True,0.95,,ai_high
OS-203,Trace Element Balance in Rats During Spaceflight,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-204,Morphometric Studies of Atrial Granules and Hepatocytes: I. Morphometric Study of the Liver,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-205,Morphometric Studies of Atrial Granules and Hepatocytes: II. Atrial Granular Accumulations,2,Probable,True,Cardiovascular diseases; Kidney diseases; Endocrine and metabolic diseases,Cardiovascular diseases,False,True,0.95,,ai_high
OS-206,Hepatic Function in Rats After Spaceflight,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-207,The Effect of Cosmos 1887 Flight on Spermatogonial Population and Testosterone Level in Rat Testes,2,Probable,True,Endocrine and metabolic diseases; Cancer; Women's health,Endocrine and metabolic diseases,False,True,0.95,,ai_high
OS-208,Effect of Spaceflight on Levels and Function of Immune Cells,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-209,Structural Changes and Cell Turnover in the Rat's Small Intestine Induced by Spaceflight,0,Not health-related,False,,,True,True,0.9,,none
OS-210,Pineal Physiology in Microgravity: Relation to Rat Gonadal Function,2,Probable,True,Endocrine and metabolic diseases; Mental health,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-211,The Effect of Spaceflight on Pituitary Oxytocin and Vasopressin Content of Rats,2,Probable,True,Neurological diseases; Endocrine and metabolic diseases,Neurological diseases,False,True,0.9,,ai_high
OS-212,Effect of Microgravity on: I. Metabolic Enzymes of Individual Muscle Fibers,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-213,Effect of Microgravity on: II. Metabolic Enzymes of Hippocampus and Spinal Cord,2,Probable,True,Neurological diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Neurological diseases,False,True,0.9,,ai_high
OS-214,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: I. Somatotroph Physiology",2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-215,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: II. Immunohistochemical Analysis of Hypothalamic Hormones",2,Probable,True,Neurological diseases; Endocrine and metabolic diseases,Neurological diseases,False,True,0.9,,ai_high
OS-216,"Growth Hormone Regulation, Synthesis, and Secretion in Microgravity: III. Plasma Analysis",2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-217,Distribution and Biochemistry of Mineral and Matrix in the Femurs of Rats,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-218,"Biomedical, Biochemical, and Morphological Alterations of Muscle and Dense, Fibrous Connective Tissues During 14 Days of Spaceflight",1,Confirmed,True,Musculoskeletal diseases; Neurological diseases,Musculoskeletal diseases,True,True,0.9,D009127,nlp+ai
OS-219,Gravity and Skeletal Growth: I. Gravity and Skeletal Growth,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-220,Gravity and Skeletal Growth: II.  Morphology and Histochemistry of Bone Cells and Vasculature of the Tibia from Cosmos 1887,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-221,Gravity and Skeletal Growth: III. Nuclear Volume Analysis of Osteoblast Histogenesis in Periodontal Ligament Cells of Cosmos 1887 Rats,2,Probable,True,Cancer; Endocrine and metabolic diseases; Musculoskeletal diseases,Cancer,False,True,0.9,,ai_high
OS-222,Gravity and Skeletal Growth: IV.  Intervertebral Disc Swelling Pressure Associated with Microgravity,0,Not health-related,False,,,True,True,0.9,,none
OS-223,The Maturation of Bone and Dentin Matrices in Rats Flown on Cosmos 1887,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-224,Morphometric and EM Analysis of Tibial Epiphyseal Plates From Cosmos 1887 Rats,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-225,Metabolic and Morphologic Properties of Muscle Fibers After Spaceflight,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-226,Biochemical and Histochemical Observations of Vastus Medialis,0,Not health-related,False,,,True,True,0.9,,none
OS-227,Adaptation of Optokinetic Nystagmus to Microgravity,1,Confirmed,True,Eye diseases; Neurological diseases,Eye diseases,True,True,0.9,D009759,nlp+ai
OS-228,Morphometric and EM Analyses of Tibial Epiphyseal Plates from Cosmos 2044 Rats,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-229,Skeletal Muscle Atrophy in Response to 14 Days of Weightlessness,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-230,Effect of Zero Gravity on Myosin Isoform Expression in Rodent Skeletal Muscle,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-231,Messenger RNA Levels in Skeletal and Smooth Muscles: I. mRNA Decrease in Skeletal Muscle During Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-232,Messenger RNA Levels in Skeletal and Smooth Muscles: II. mRNA Levels in Smooth Muscle,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-233,Effects of Microgravity in the Adductor Longus Muscle and Receptors in the Forebrain of Rats,2,Probable,True,Neurological diseases; Musculoskeletal diseases,Neurological diseases,False,True,0.9,,ai_high
OS-234,Rodent Tissue Repair: I. Skin Repair Studies,2,Probable,True,Cancer; Musculoskeletal diseases,Cancer,False,True,0.9,,ai_high
OS-235,"Rodent Tissue Repair: II. Changes in Muscle Serine Proteases, Serpins, and Matrix Molecules",2,Probable,True,Kidney diseases; Cancer; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-236,Rodent Tissue Repair: III. Skeletal Muscle,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-237,Metabolic and Morphologic Properties of Muscle Fibers and Motor Neurons after Spaceflight: I. Muscle Fibers,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-238,Metabolic and Morphologic Properties of Muscle Fibers and Motor Neurons after Spaceflight: II. Ventral Horn Cell Responses to Spaceflight and Suspension,2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-239,"Morphohistochemical, Immunocytochemical, and Biochemical Investigation of Microgravity Induced Nerve and Muscle Breakdown: I. Muscle Histology",0,Not health-related,False,,,True,True,0.9,,none
OS-240,"Morphohistochemical, Immunocytochemical, and Biochemical Investigation of Microgravity Induced Nerve and Muscle Breakdown: II. Muscle Biochemistry",0,Not health-related,False,,,True,True,0.9,,none
OS-241,"Studies of Vestibular Primary Afferents in Normal, Hyper- and Hypogravity",1,Confirmed,True,Eye diseases; Neurological diseases,Eye diseases,True,True,0.9,D009759,nlp+ai
OS-242,Functional Neuromuscular Adaptation to Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-243,Measurement of Heart Atrial Natriuretic Peptide Concentrations,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-244,"Biomechanical, Biochemical, and Morphological Alterations of Muscle and Dense Fibrous Connective Tissues After 14 Days Spaceflight: I. Connective Tissue Studies",1,Confirmed,True,Musculoskeletal diseases; Neurological diseases,Musculoskeletal diseases,True,True,0.9,D009127,nlp+ai
OS-245,"Biomechanical, Biochemical, and Morphological Alterations of Muscle and Dense Fibrous Connective Tissues: II. Composition of the Invertebral Disk",0,Not health-related,False,,,True,True,0.9,,none
OS-246,"Hepatic Function in Rats After Spaceflight: I. Analyses of Selected Parameters of Carbohydrate, Amino Acid, Lipid, and Xenobiotic Metabolism",2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-247,Hepatic Function in Rats After Spaceflight: II. Glycogen Studies,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-248,Rat Testis Morphology and Physiology,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-249,Structural Changes and Cell Turnover in the Rat's Small Intestine Induced by Spaceflight.,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-250,"Pineal Physiology in Microgravity, Relation to Gonadal Function",2,Probable,True,Endocrine and metabolic diseases; Mental health,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-251,The Effect of Spaceflight on Pituitary Oxytocin and Vasopressin Content,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-252,"Effect of Microgravity on: I. Metabolic Enzymes in Type I, IIA, and IIB Muscle Fibers",2,Probable,True,Endocrine and metabolic diseases; Musculoskeletal diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-253,"Effect of Microgravity on: II. Metabolic Enzymes, Neurotransmitter Amino Acids, and Neurotransmitter Associated Enzymes in Selected Regions of the Central Nervous System",2,Probable,True,Neurological diseases; Endocrine and metabolic diseases,Neurological diseases,False,True,0.9,,ai_high
OS-254,"Growth Hormone Regulation, Synthesis and Secretion in Microgravity: I. Secretion of Growth Hormone",2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-255,"Growth Hormone Regulation, Synthesis and Secretion in Microgravity: II. Hypothalamic GH-Releasing Factor, Somatostatin Immunoreactivity, and mRNA Levels",2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-256,"Growth Hormone Regulation, Synthesis and Secretion in Microgravity: III. Plasma Analysis Hormone Measurements",0,Not health-related,False,,,True,True,0.9,,none
OS-257,Histologic Examination of Lung Tissue,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases,Cardiovascular diseases,False,True,0.85,,ai_high
OS-258,Morphological and Biochemical Examination of Heart Tissue: I. Ultra- structural Alterations in Rat Hearts After Cosmos 2044 Compared to Cosmos 1887,0,Not health-related,False,,,True,True,0.9,,none
OS-259,Morphological and Biochemical Examination of Heart Tissue: II. Cardiac Morphology After Conditions of Microgravity,2,Probable,True,Cardiovascular diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-260,Morphological and Biochemical Examination of Heart Tissue: III. Cyclic AMP Receptor Protein Distribution in Heart Muscle of Rats Flown on Cosmos 2044,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-261,Morphological and Biochemical Examination of Heart Tissue: IV. Altered Myosin Expression in Rat Ventricular Muscle,2,Probable,True,Cardiovascular diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-262,Biological Rhythm and Temperature Regulation: I. Biological Rhythms and Temperature Regulation,2,Probable,True,Cardiovascular diseases; Endocrine and metabolic diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
OS-263,Biological Rhythm and Temperature Regulation: II. Metabolism,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-264,Erythroid Colony Formation In-Vitro and Erythropoietin Determinations,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-265,Effect of Spaceflight on Level and Function of Immune Cells: I. Immunology Studies,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-266,"Bone Biochemistry and Mineral Distribution in the Femurs of Rats after Two Weeks in Space: Circulating Parathyroid Hormone, Calcitonin, and Osteocalcin",1,Confirmed,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,True,True,0.9,D006961,nlp+ai
OS-267,Gravity and Skeletal Growth: I. Gravity and Skeletal Growth,2,Probable,True,Women's health; Musculoskeletal diseases,Women's health,False,True,0.9,,ai_high
OS-268,Gravity and Skeletal Growth: II. Morphological Studies of Bone and Tendon,2,Probable,True,Cardiovascular diseases; Musculoskeletal diseases,Cardiovascular diseases,False,True,0.9,,ai_high
OS-269,Gravity and Skeletal Growth: III. Recovery of Osteogenic Potential,2,Probable,True,Eye diseases; Musculoskeletal diseases,Eye diseases,False,True,0.9,,ai_high
OS-270,Mineral Distribution and Balance in Rats During Spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-271,Emergence of Wheat Seedlings in Zero Gravity,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-272,Effects of Weightlessness on the Root and Shoot of Wheat Seedlings,2,Probable,True,Eye diseases,Eye diseases,False,True,0.9,,ai_high
OS-273,Biochemical Changes in the Developing Wheat Seedling,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-274,Determination of Influence of Zero Gravity on Mutation Process Using Controlled Gamma Ray Exposure,2,Probable,True,Cancer; Women's health,Cancer,False,True,0.9,,ai_high
OS-275,Possible Effects of Zero Gravity on Radiation-Induced Somatic Damage,2,Probable,True,Cancer; Women's health,Cancer,False,True,0.9,,ai_high
OS-276,Mutagenic Effectiveness of Known Doses of Gamma Radiation in Combination with Weightlessness on Wasps,0,Not health-related,False,,,True,True,0.9,,none
OS-277,Mutagenic Effectiveness of Known Doses of Gamma Irradiation,2,Probable,True,Cancer,Cancer,False,True,0.9,,ai_high
OS-278,Effects of Weightlessness on the Nutrition and Growth of Pelomyxa carolinensis,3,Uncertain,True,Endocrine and metabolic diseases; Cancer,Endocrine and metabolic diseases,False,True,0.4,,ai_low
OS-279,Effects of Weightlessness on the Nuclear and Cellular Division of Pelomyxa carolinensis:,2,Probable,True,Cancer; Rare inherited disorders,Cancer,False,True,0.7,,ai_high
OS-280,Effects of Sub-Gravity on Cellular Phenomena of Developing Frog Eggs,0,Not health-related,False,,,True,True,0.9,,none
OS-281,Induction of Lysogenic Bacteria in the Space Environment,2,Probable,True,Cancer; Rare inherited disorders,Cancer,False,True,0.7,,ai_high
OS-282,Synergistic Factors Influencing Embryonic Differentiation and Development of the Flour Beetle,0,Not health-related,False,,,True,True,0.9,,none
OS-283,The Liminal Angle of Plagiogeotropic Organ Under Weightlessness,0,Not health-related,False,,,False,False,0.75,,none
OS-284,Monitoring Cardiovascular Function and Performance in the Primate Under Prolonged Weightlessness,1,Confirmed,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,True,True,0.9,D003681,nlp+ai
OS-285,Investigation of Bone Density Changes in Various Sites of the Skeletal Anatomy of a Primate,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-286,Digital Computer Analysis of Neurophysiological Data from Biosatellite III,0,Not health-related,False,,,True,True,0.9,,none
OS-287,Sleep and Wake States in Biosatellite III Monkey: Visual and Computer Analyses of Telemetered Electroencephalographic Data,2,Probable,True,Eye diseases; Women's health; Mental health,Eye diseases,False,True,0.9,,ai_high
OS-288,Sleep/Wake Activity Patterns of a Pig-Tailed Monkey During Nine Days of Weightlessness,2,Probable,True,Mental health,Mental health,False,True,0.9,,ai_high
OS-289,Circadian Rhythms of the Pig-Tailed Monkey in Biosatellite III,2,Probable,True,Cardiovascular diseases; Neurological diseases; Endocrine and metabolic diseases; Mental health,Cardiovascular diseases,False,True,0.9,,ai_high
