osID,title,objectives,approach,results,sponsoringAgency,researchAreas,nasaPrograms,factors,publications_count,publication_titles,principal_investigator,pi_institution,all_people,releaseDate,source_url,health_related,disease_areas,primary_disease_area,relevance_type,classification_source,non_health_category
OS-380,Kidneys and Fluid-Electrolyte Homeostasis,"Previous studies have examined the effects of spaceflight on the water, sodium, potassium, calcium, and magnesium concentrations in the skin, bone, liver, kidneys, heart and reproductive organs. However, the specific effects of microgravity could be masked by the effects of readaptation to the Earth's environment. The purpose of this experiment is to study the kidney and fluid-electrolyte homeostasis of rats dissected inflight.","The kidney was isolated into its components (medulla, papillae, and cortex) and dried for water measurement. The dried samples were ashed using nitric acid at 80 degrees C. Sodium and potassium levels were measured using a photometer. Calcium and magnesium were measured using an atomic absorption spectrophotometer. The results were analyzed using Student's t-test.","Data analysis was difficult due to significant variations within the controls. However, the following results were obtained.  Rats dissected inflight (IF) had water and sodium contents in the renal component identical to the controls. Potassium content in the medulla and cortex were identical, while in the papillae it was lower in flight rats. Calcium was decreased in the cortex, and magnesium were decreased in the cortex and papillae. Rats dissected immediately post-flight (R+0) showed a decrease in water content in the cortex and papillae.  The concentrations of electrolyes were identical to those of the controls. Rats dissected 14 days post-flight (R+14), had water and electrolyte concentration unchanged in the medulla and papillae while water and electrolyte concentrations in the cortex increased.",Russian Space Agency (RSA),"Renal, fluid and electrolyte physiology",,,1,Spacelab Life Sciences 2 (SLS-2) 180 - Day Report,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-380,True,Cardiovascular diseases; Kidney diseases; Women's health; Endocrine and metabolic diseases; Musculoskeletal diseases,Cardiovascular diseases,direct,keyword,
OS-381,Single Fiber Muscle Function,"Previous studies examining the soleus (SOL) and extensor digitorum longus (EDL) muscles of the rat hindlimb indicate that muscles exposed to microgravity undergo atrophy and a change of fiber composition from slow to fast twitch types.  These changes can vary depending upon the muscle participation in antigravitational activity (i.e. posture) and on the functional profile of the muscle (slow or fast twitch).  In order to corroborate these earlier findings, this study will examine the functional (activated tension characteristics) and structural (myofibril composition) changes caused by microgravity in the tibialis anterior (TA), vastus intermedius (VI), as well as the soleus (SOL), and extensor digitorum (EDL) muscles of the rat hindlimb.","Fiber bundles were removed, isolated and skinned from selected rat hindlimb muscles (SOL, VI, TA, EDL).  In order to quantify the atrophy of the fiber, mass, cross-sectional area and maximal tension were measured.  Then, each fiber underwent force measurements to establish tension/pCa and tension/pSr, and to determine the functional properties of the muscle.  Additional calculations and measurements were performed in order to determine Ca and Sr affinity.  After the completion of these physiological measurements, the muscle fibers underwent analysis with sodium dodecyl sulphate polyacrimide gel electrophoresis (SDS-PAGE) in order to determine myosin heavy and light chain composition.  The results were analyzed using a two-way analysis of variance (ANOVA).","Tension analysis revealed that SOL fibers exposed to microgravity showed a significant increase in the proportion of fast fibers when compared to control fibers. In contrast, VI fibers, which have a similar proportion of fiber as normal SOL fibers, did not show a significant increase in fast twitch fiber composition when exposed to microgravity.  The change in fiber composition for TA and EDL fiber was insignificant, since these muscle contain exclusively fast type fibers.  Electrophoretic analysis corroborated these results.  After flight, SOL fibers showed a decrease in fast myosin proteins, while in VI fibers, the proportion of proteins did not change.  No significant change in protein composition was observed in TA and EDL fibers.",Centre National d'Etudes Spatiales (CNES),Muscle physiology,,,7,Spacelab Life Sciences 2 (SLS-2) 180 - Day Report | Postnatal muscle development in unloading conditions | Influence of spaceflight on succinate dehydrogenase activity and soma size of rat ventral neurons | Influence of chronic stretching upon rat soleus muscle during non-weight-bearing conditions | Differential adaptation to weightlessness of functional and structural characteristics of rat hindlimb muscles | Effects of chronic electrostimulation on rat soleus skinned fibers during hindlimb suspension | Functional effects of uridine triphosphate on the atrophied soleus muscle of rat after unloading,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-381,True,Musculoskeletal diseases,Musculoskeletal diseases,direct,keyword,
OS-382,Ultrastructural Changes in Choroid Plexus of Rats Maintained in Microgravity During a Spaceflight,"The aim of the experiment was to evaluate the effects of microgravity on fine structure and protein organization of choroidal cells after a space flight. The functional consequences of spaceflight and hindlimb-suspension were evaluated by immunocytochemistry and by molecular biology by detecting changes in the expression of cytoskeletal and membrane proteins in choroidal cells which produce cerebrospinal fluid. Moreover, qualitative changes in the biosynthesis and storage of natriuretic peptides (using electron microscopy, immunocytochemistry) in hypothalamus and heart were evaluated under microgravity conditions.","Rat brains were removed after decapitation and choroid plexuses from 5 brains dissected and fixed inflight and 3 others dissected 5-8 hours after landing were carefully isolated, briefly rinsed in PBS, and fixed by immersion in 2.5 percent glutaraldehyde in cacodylate buffer  0.1M, pH 7.4, post-fixed in 1 percent osmium tetroxide in sodium barbital-acetate buffer 0.05M, pH 7.4 and embedded in LX-112 epoxy resin. Those from 2 other animals dissected 5-8 hours after landing were fixed in the same conditions in 3% paraformaldehyde in PBS. Hypothalamus and the remaining brain with brainstem from these same brains were removed and directly frozen on dry ice, before storage at -80 degrees C. and shipping on dry ice to the lab, where they were stored at -80 degrees C until sectioning. Whole brains from 2 animals in each group were immersed in Bouin's fixative for 16 h, washed and dehydrated in ethanol, before embedding in Paraplast. Four other whole brains were directly frozen on dry ice, and stored at -80 degrees C. Hearts were similarly processed for electron microscopy, immunocytochemistry. Atrial and ventricle samples were frozen for radioimmunoassay and northern blot.","Ultrastructural observations of choroidal cells dissected inflight or 5-8 h postflight from adult rats showed a loss of cell polarity (altered kinocilia, loss of microvilli, decreases in apical ezrin) and a reduced choroidal secretion (accumulation of apical vesicles, loss of apical membrane and cytoplasmic molecules, involved in water and ionic transports, such as aquaporin 1, Na/K ATPase, carbonic anhydrase II). Similar effects were observed in hindlimb-suspended rats, whereas control rats displayed typical choroidal features. Those results suggested that, after 2 weeks in weightlessness, choroidal functions were altered, indicating a reduction in the secretory processes. As cerebrospinal fluid is mainly produced by these cells, we concluded that spaceflight and head-down suspension probably induce a reduced CSF production. Analyses of natriuretic peptides in hypothalamus and heart are still in progress.",Centre National d'Etudes Spatiales (CNES),"Neurophysiology
Renal, fluid and electrolyte physiology
Network physiology
Neuroscience",,,4,"Spacelab Life Sciences 2 (SLS-2) 180 - Day Report | Choroidal Adaptation to Real Microgravity (Mission SLS-2) or Simulated (Rat Hindlimb-Suspended Model):  Effects on the Cellular Structures and on the Natriuretic Peptide Receptors (in French) | Choroidal Responses in Microgravity. (SLS-1, SLS-2 and Hindlimb-Suspension Experiments) | Altered Gravity Downregulates Aquaporin-1 Protein Expression in Choroid Plexus",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-382,True,Cardiovascular diseases; Kidney diseases; Neurological diseases,Cardiovascular diseases,direct,keyword,
OS-383,Histomorphometric Analysis of Bone Tissue after Weightlessness Exposure and Recovery,"The characteristics of spaceflight-induced bone loss have been the subject of many studies.  However, the mechanism of bone mass recovery on earth is not well understood. Studies examining humans for up to five years after a Skylab Mission showed that calcaneum bone mineral remained decreased. Additionally, rats from other missions showed incomplete bone mass recovery after a reambulation period longer than the flight itself. The purpose of this study was to examine histomorphometric changes of various bones after 14 day exposure to weightlessness and after 14 day recovery.","After an appropriate time period the rats were euthanized, and the skull, last thoracic vertebra, right humerus, right femur, and right tibia were removed and fixed. The length of each bone was measure using calipers. Bone mineral density was assessed using a dual-energy X-ray absorptiometry in the humerus, femur, and tibia. Using X-ray microanalysis, Ca2+ and P concentrations were measured in the cancellous and cortical portions of the tibia, vertebrae, and parietal bones. Histomorphometric analysis producing measurements of bone mass parameters, bone architecture parameters, osteoblastic activity, and osteoclastic activity of the tibial and humeral metaphyses was also performed.","Flight animals examined immediately postflight (F14) showed detectable bone loss in the femoral metaphysis/epiphysis when compared to the appropriate synchronous control group.  Osteoclastic surfaces area and number of cells were much higher in tibial secondary spongiosa of F14 animals, while osteoblastic parameters remained relatively unchanged. Ca2+ and P in F14 animals were lower in tibia secondary spongiosa and higher in calvaria as compared to synchronous controls. Bone mineral density was decreased in F+28 animals relative to vivarium controls, suggesting that the effects of flight were somewhat delayed. However, bone mineral density was greater in F+R28 animals relative to F14 animals suggesting an active recovery process. Furthermore, Ca2+ and P concentrations in tibia of F+28 animals remained below control levels after the reambulation process. Site to site differences were also observed. There were early and major changes in the tibia, less marked and delayed changes in the humerus, and minor changes in the greater trochanter of the femur.",Centre National d'Etudes Spatiales (CNES),"Bone and calcium physiology
Skeletal physiology",,,1,Spacelab Life Sciences 2 (SLS-2) 180 - Day Report,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-383,True,Musculoskeletal diseases,Musculoskeletal diseases,direct,keyword,
OS-384,Gravitropic Threshold (GTHRES),"The widespread occurrence of  statocytes with sedimenting statoliths in higher plants is compelling evidence that they are involved in some way with the process of detection of the g-force vector direction.  Whether the same process serves to detect the intensity of that force is not well established.  The transduction mechanism by which positional information is translated into meaningful biological changes is also not understood.  Determination of the smallest stimulus capable of eliciting a response, referred to as threshold, was an important experiment objective.  Other objectives were to determine the maximum response to laterally directed g-acceleration between zero and one g,  to determine the sensitivity of the plant's response parameter and to determine whether the plant's response is proportional to the intensity of the stimulation.","The test organism was <i>Avena sativa</i>.  Nine seeds were planted in 5 groups of 4 cubes.  The seedlings were raised in darkness.  Prior to testing, the seedlings were in space under centrifugation at 1 g.   Tropistic stimulations were produced by laterally directed centripetal accelerations on variable speed centrifuges that were programmed to apply stimulus doses where both centrifuge speed and duration of stimulation were varied.  Stimulus doses were defined as <i>g</i> x <i>t</i> in which <i>g</i> and <i>t</i> were independent variables.  In different tests, centripetal accelerations were varied between 0.1 and 1.0 g and <i>t</i> was varied from 2  to 130 min.  Stimulus doses were varied from 1.8 to 25.2 min.  Temperatures were controlled and recorded continuously.  The nominal temperature was 22.5 degrees C.  Tropistic response was measured before and after stimulation with time lapse images using infrared light.   Gas samples were taken from 3 cubes and analyzed for oxygen, carbon dioxide and ethylene content.","To determine threshold stimulation times, logarithmic curve fitting was used.  Characteristic qualitative features of the Avena coleoptile's tropistic response pattern in weightlessness were not greatly different from ground based studies.  For flight data, logarithmic plots extrapolated to positive threshold values in the range 0.9 to 7.8 min.  The shortest stimulation time to cause a response at 1.0 g was 2.0 min., and by extrapolation, the threshold was less than 1 min.  The least g-value used to stimulate coleoptiles in flight was 0.1 g.  In that experiment, a significant response of 19.6 (&plusmn;) 2.2 degrees was observed, which demonstrated that if there is an absolute g-threshold for gravitropic response, it must be below  0.1 g.   Qualitatively, autotropic counterreactions after initial tropistic bending were evident from visual inspection of time series of response images.  As a general trend, autotropic responses were more prominent the greater the stimulus and the tropistic response.",National Aeronautics and Space Administration (NASA),Plant biology,,,10,Gravity perception and circumnutation in plants | Centrifuges: evolution of their uses in plant gravitational biology and new directions for research on the ground and in spaceflight | The phototropic response to Triticum aestivum coleoptiles under conditions of low gravity | Gravitropically-stimulated seedlings show autotropism in weightlessness | Gravitropic responses of the Avena coleoptile in space and on clinostats | Peculiarities of Super-Dwarf wheat growth and development in Greenhouse Svet in ground and space experiments | Plants tropistic responses in zero gravity | Nastic curvatures of wheat coleoptiles that develop in true microgravity | Gravity sensing in oat coleoptiles scatter in growth orientation under different g-conditions | Circumnutations: from Darwin to space flights,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-384,False,,,,ai,plant biology
OS-385,Response to Light Stimulus Phototropic Transients (FOTRAN),"The objective of the FOTRAN experiment was to determine the time course of plant seedling curvature induced by phototropic stimulations in a microgravity environment.  The experiment was designed to provide data on discrete physiological responses of growing wheat coleoptiles and the effect of microgravity in modifying these responses.  The purpose of this experiment was fourfold; 1) to determine whether seedling curvature proceeds in the same direction and rate in microgravity as on earth, 2) to determine whether the degree of extent of seed curvature is the same in microgravity as on earth, 3) to see if seedling curvature reverses (autotropism) or oscillates (circumnutation) in microgravity and 4) to determine the phototrophic dose-response relationship in plants in microgravity.","Three day old wheat coleoptiles were used.  Ground controls matched flight conditions with respect to seedling age, temperature and photostimulus. In orbit, plants were held in a 1 g simulated environment to allow for normal plant development until the start of the experiment.  Plants were then moved to the recording and stimulus chamber (REST) where they were held at microgravity and time lapse videos were taken for five hours before photostimulus occurred. Plants were then exposed to various lengths of photostimulation, ranging from 3 seconds to 33 minutes, 18 seconds. After completion of photostimulus, time lapse video records were taken until the end of the experiment, approximately 7 hours. At the end of each experiment, atmosphere samples were taken and later analyzed by gas chromotography for ethylene, CO2 and O2.  This process was repeated for subsequent batches of seedlings.  Some batches were fixed inflight at the end of the experiment. Batches that were not fixed in flight were examined, photographed, measured, weighed, and fixed post-flight. Any non-germinating seeds were cultured.",The curvature response to photostimulus in flight was not significantly different than that of the ground controls except in groups that received 6- and 9-second stimuli.  Measurements of seedling curvature show a relationship between stimulus and curvature response.  The dose response curve of wheat seedling phototropism show that for the majority of stimulus durations the mean response in 0 g was not statistically different than the ground controls.  Autotropic reversal of curvature and circumnutation was seen in flight data.  Circumnutation was seen in half of the flight seedlings.  Rhythmicities were also observed in groups that were not photostimulated.,National Aeronautics and Space Administration (NASA),Plant biology,,,5,The phototropic response to Triticum aestivum coleoptiles under conditions of low gravity | The Gravitational Plant Physiology Facility:  description of equipment developed for biological  research in spacelab | Plants tropistic responses in zero gravity | Nastic curvatures of wheat coleoptiles that develop in true microgravity | Infrared light-emitting diode radiation causes gravitropic and morphoplogical effects in dark-grown oat seedlings,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-385,False,,,,ai,plant biology
OS-386,Genetic and Molecular Dosimetry of HZE Radiation (RADIAT),One of the major features of the space environment is the presence of cosmic rays or HZE (high energy and charge) particles.  Understanding the biological effects of the complex radiation environment in space is crucial to the safety of spaceflight crews.  Of greatest importance are changes to chromosomes which lead to the conversion of normal cells to cancer cells.  The objective of this study  is to isolate genetic changes in animal cells caused by cosmic rays in space so that their likelihood of occurrence and structural features can be evaluated.  The soil nematode Caenorhabditis elegans was used due to its short generation time and thoroughly understood development process.,"Two strategies were used for the selection of mutations induced by space radiation. The first method used a large genetic target of 350 genes and the second uses a single large gene, unc-22 as a target. Special correlative methods for identifying mutations caused by high energy charged particles were developed. Four tests (growth, mating, segregation, and recombination) were carried out to assess development and the behavior of chromosomes during meiosis. Each test was performed with two different genotypes to control for specific gene effects. Worms from selected cultures were fixed and stained using the fluorescent DNA- binding dye DAPI to reveal cell nuclei. Some embryos recovered at landing were also fixed and stained with antibodies specific for cytoplasmic determinants that localize to different cell lineages. Several hundred animals were analyzed for their anatomy based on cell number and distribution, nuclear morphology, karyotype and symmetry relationship.","No obvious differences were seen in the development, behavior and chromosome mechanics of C. elegans as a function of microgravity.  The animals successfully reproduced twice in space with  the generation of many thousands of offspring.  Both self-fertilization and mating of males with hermaphrodites were successful.  Gross anatomy, symmetry  and gametogenesis were normal based on light microscope observations.  No defective karyotypes or cell distributions were observed.  The pairing, disjoining and recombination of chromosomes showed no differences correlated with gravity levels.  A variety of mutants were isolated in the und-22 gene and in essential genes balanced by the eT1 translocation.  Phenotypic assessment of mutants suggests that mutants isolated from regions of identified high LET particles are more severe than those isolated by random screening.  Large deletions have been identified amongst the unc-22 mutants.  The rates of mutagenesis were significantly above those in ground controls.",National Aeronautics and Space Administration (NASA),Radiation biology,,,7,Radiation effects in nematodes: results from IML-1 experiments | Caenorhabditis elegans: a model system for space biology studies | Development and chromosome mechanics in nematodes:  results from IML-1 | Radiation in microgravity | Genetic and molecular dosimetry of HZE radiation | Nematode radiobiology and development in space.  Results from IML-1 | US-1 Science Report: Responses of Radiation Sensitive Mutants to High and Low LET Ionizing Radiation; Genetic and Developmental Effects of Heavy Ion Radiation in C. elegans,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-386,True,Cancer; Rare inherited disorders,Cancer,direct,ai,
OS-387,Microgravitational Effects on Chromosome Behavior (Yeast),"The principal objectives of this flight experiment were to determine the effects of the space-flight environment on cell yield, survival and ability to undergo meiosis, and to monitor mitotic chromosome segregation and recombination in the space-flight environment.  <i>Saccharomyces cerevisiae</i>, a model unicellular eukaryote, was used in the experiment.  Two types of yeast cultures were flown:  mitotic cell cultures, in which yeast cell populations are established by budding and mitosis, and meiotic cell cultures, in which yeast cells undergo meiosis and ascospore formation.  The mitotic cell cultures are microbial analogs of human somatic mitotic cell division while the meiotic cell cultures are microbial analogs of human meiosis and gamete formation.","Two yeast diploid hybrids were prepared.  STS42-1 is a Rec+, Rad+, Spo+ strain capable of  mitosis or meiosis at both 22 and 36 degrees C.  STS42-2 is a temperature conditional strain that exhibits Rec+, Rad+, Spo+ at 22 degrees, but Rec-, Rad-, and Spo- at 36 degrees and grows mitotically at either  temperature.  Two cultures of each strain were incubated during flight under four conditions:  in microgravity at 22 degrees, in a 1-g centrifuge at 22 degrees, in microgravity at 36 degrees, and in a 1-g centrifuge at 36 degrees.  The ground cultures were incubated under similar conditions, static at 22 degrees, in a 1-g centrifuge at 22 degrees, static at 36 degrees, and in a 1 g centrifuge at 36 degrees.  All cell cultures were analyzed with respect to 1) the total number of cells and buds produced during growth, 2) the percent survival of the cells following plating on nutrient synthetic complete growth medium, 3) frequencies of the cells having phenotypes indicative of mitotic gene conversion, intergenic recombination, and/or mitotic chromosome segregation anomalies, and 4) presence of cells that entered meiosis during the stationary phase following cessation of mitotic cell division.","There was no marked enhancement or reduction in total cell yield due to microgravity conditions.  The incubation temperature appears to be the principle factor in the total cell yield;  cell densities of cultures incubated at 22 degrees were greater by a factor of 2 or less than the densities of those incubated at 36 degrees.  The average survival of the STS42-1 flight culture cells ranged from 51 percent to 75 percent, with the 22 degree cultures being the highest.  The average survival rate of the STS42-2 flight cell cultures ranged from 24 percent to 72 percent with the 22 degree cultures being the highest.  The most striking discovery  was the  higher than expected recovery of Rec- intergenic mitotic recombinants from the 36 degree flight cultures.  Rec- is recombinant deficient at 36 degrees in ground controls.  STS42-2 also preserved its Rec- phenotype during flight at 36 degrees with respect to resistant segregants due to gene conversion, events that result in mitotic segregants and failure to initiate meiosis.  One hypothesis for this behavior is a difference in  the nature of the lesion that initiates mitotic recombination in flight as opposed to ground.",National Aeronautics and Space Administration (NASA),Cell and molecular biology,,,2,"Cell division, mitotic recombination and onset of meiosis by diploid yeast cells during space flight | Diploid yeast cells yield homozygous spontaneous mutations",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-387,True,Cancer; Rare inherited disorders,Cancer,direct,ai,
OS-388,Chondrogenesis in Micromass Culture of Mouse Limb-bud Mesenchyme Exposed to Microgravity,"The effect of microgravity on cartilage development is important due to the critical role of chondrogenesis in skeletal development through endochondral ossification.  <i>In vivo</i> studies have indicated altered cell kinetics in microgravity, but systemic effects are a contributing factor.  This experiment was designed to determine whether cells sensitive to microgravity <i>in vivo</i> would retain their sensitivity <i>in vitro</i>.  The hypothesis was that cell cultures in space would produce less cartilage, less Type II collagen and less cartilage proteoglycan and that the aggregative state of the collagen and proteoglycan produced by cells would be different ultra-structurally from that of 1-g cells.","Micromass cultures were obtained from the hind and fore-limbs of 12.5 day old mouse embryos.  Cultures were exposed to four different experiment conditions inside the Biorack facility: microgravity (flight), 1-g (flight), 1-g ground and 1.4-g ground centrifuge.  A set of cultures was fixed every 24 hours and medium was frozen for further biochemical analysis.  Samples were examined after flight using scanning electron microscopy (SEM) and transmission electron microscopy (TEM).  Other samples were stained with Alcian blue and examined using light microscopy to determine cartilage growth and the size and number of nodules per unit area.  Immunohistochemistry was performed to locate and study the relationship between proteoglycans and collagens.  Enzyme-linked immunosorbent assays (ELISAs) were performed to determine collagen II production.","Significant detachment of cell layers occurred in all groups.  In areas where layers were intact, nodules formed of varying sizes, but there was no difference in size or number between flight and ground cultures.  SEM of samples show differences between ground and flight cultures by day 4.  Flight cultures formed aggregates of cells with abnormally smooth surfaces.  Flight cultures also exhibited unusual ruffled structures ranging in complexity from a single sheet to a rosette.  TEMs show that within flight cell cultures, cells did undergo a shape change from flattened to rounded that is associated with chondrogenesis, but the associated proliferation of rough endoplasmic reticulum (RER) and production of matrix did not occur.",National Aeronautics and Space Administration (NASA),"Bone and calcium physiology
Skeletal physiology",,,7,"Teratogenic effects of gravity change: the concept of allometric growth | Proteoglycans in micromass cultures of embryonic mouse limb mesenchymal cells:  preliminary studies for the ""CELLS"" spaceflight experiment | Cartilage formation in the CELLS ""Double Bubble"" hardware | Ultrastructural aspects of chondrogenesis in ""CELLS"" flight hardware | Teratogenic effects of gravitational changes | Chondrogenesis in cultures of embryonic mouse limb mesenchyme exposed to microgravity | Continuing studies of ""CELLS"" flight hardware",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-388,True,Cancer; Musculoskeletal diseases,Cancer,direct,keyword,
OS-389,Effects of Microgravity on Aurelia Ephyra Behavior and Development,"Aurelia polyps and ephyrae were exposed to microgravity and in flight centrifugation during the IML-2 mission. The objective of this experiment was to study the effects of microgravity on the development of ephyrae from polyps, the development of the graviceptors (rhopalia) of ephyrae, the formation or demineralization of statoliths of rhopalia, and the swimming/pulsing behavior of ephyrae.","Polyps were induced to strobilate at 28 degrees Celsius, using iodine or thyroxine.  Some ephyrae that formed in space were fixed in space on mission day 8, while others were fixed after flight. Swimming behavior in flight and under in-flight centrifugation was observed through in-flight video.  After landing, light and electron microscope examinations were performed.","The number of ephyrae formed per polyp were slightly higher in the groups induced 8 hours after launch (L+8h), as compared to those induced before launch (at L-24h and L-48h). On Earth, iodine is used by jellyfish to synthesize jellyfish-thyroxine (Jf-T4), which is necessary for ephyra production. Since iodine-treated polyps gave rise to ephyrae in space, it appears that jellyfish are able to synthesize Jf-T4 in space.  The two groups of polyps not given the inducer still formed ephyrae in space, presumably due to enhanced Jf-T4 synthesis, utilization, or accumulation.  Morphologically, ephyrae that developed in space were very similar to those that developed on Earth.  Quantitation of arm numbers revealed that there were no significant differences between space- and Earth-developed ephyrae.  Pulsing abnormalities, however, were found in greater numbers (18.3%) than in Earth-developed controls (2.9%).  These abnormalities suggest abnormal development of the graviceptors or the neuromuscular system, or a defect in the integration between systems in these microgravity-sensitive animals.",National Aeronautics and Space Administration (NASA),Developmental biology,,,0,,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-389,True,Neurological diseases; Musculoskeletal diseases; Endocrine and metabolic diseases,Neurological diseases,direct,ai,
OS-390,Autogenic Feedback Training Experiment (AFTE) ambulatory recordings of all subjects during SL-3 and SL-J,,,,,,,,10,Spacelab Mission J SLJ 90 Day Post-flight Report | The Effects of Autgenic-Feedback Training on Motion Sickness Severity and Heart Rate Variability in Astronauts | Autogenic-Feedback Training Improves Pilot Performance During Emergency Flying Conditions | Autogenic-feedback training (AFT) as a preventative method for space motion sickness:  background and experimental design | Autonomic responses to microgravity | Increasing accuracy in the assessment of motion sickness: a construct methodology | Autogenic-feedback training:  a potential treatment for post-flight orthostatic intolerance in aerospace crews | Reliability of autonomic responses and malaise across multiple motion sickness stimulation tests | Monitoring and correcting human autonomic function during long-term adaptation to microgravity | Autogenic Feedback System-2 (AFS-2) User Manual,Patricia S. Cowings,NASA Ames Research Center (ARC),Patricia S. Cowings; Joe Kamiya; Neal E. Miller; Gregory K. Schmidt; Sally M. Schofield- Ball; William (Bill) B. Toscano; Thomas M. Stolarik; David L. Pletcher; Paul X. Callahan; John P. Connolly,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-390,True,Cardiovascular diseases; Mental health; Neurological diseases,Mental health,direct,ai,
OS-391,Adaptation to Microgravity of Oculomotor Reflexes (AMOR): Otolith-Ocular Reflexes,"The objective of these experiments was to study the linear vestibulo-ocular reflexes (LVORs) during gravity receptor stimulation (linear acceleration) before and after spaceflight. The LVOR is likely to change during exposure to microgravity, since it is primarily controlled by the gravity-sensing otoliths. These experiments will characterize the re-adaptation of otolith reflexes to Earth's gravity after exposure to microgravity.","Pre- and postflight response characteristics were measured during passive head movements at two stimulus frequencies, 1.5 and 5.0 Hz, in darkness (LVOR), and during viewing of a head fixed (visual suppression-VSLVOR) or an Earth-fixed (visual linear-VLVOR) visual scene.  Motion was delivered along the inter-aural  (IA), naso-occipital  (NO), and dorso-ventral  (DV) head axes, as well as along intermediate oblique ones.  Angular VOR's were recorded during sinusoidal yaw, pitch, or roll motion delivered manually with Earth-fixed visual targets (VVOR) during yaw and pitch, and with animal-fixed visual targets during roll.  Data acquisition and analysis were done on PC-based programs.  Response gain, response phase, gaze position, and vergence state were calculated.  The gain and phase of differentiated, de-saccadded eye position recordings were calculated using Fourier analysis.","LVOR's compensatory for head displacement were recorded during IA, DV, NO, and intermediate axis motion.  All responses were affected by visual target distance.  NO responses were also affected by gaze direction.  AVORs during yaw and pitch had roughly compensatory gains, while torsional gains of between 0.4 and 0.7 were recorded.  Both flight monkeys had lower AVOR gain in response to pitch and yaw head movements immediately postflight.  During IA and DV head motion at 5 Hz, subject M906 had larger reductions in the slope of the function relating LVOR sensitivity to vergence that did not recover by R+39 hours.  Subject M151 displayed similar responses under the same conditions.  During NO head motion, pre- and post flight responses for subject M151 were similar to one another, while responses of subject M906 were smaller and more variable postflight.",National Aeronautics and Space Administration (NASA),"Neurophysiology
Network physiology
Neuroscience",,,1,Final Reports of U.S. Experiments Flown on the Russian Biosatellite Cosmos 2229 (Bion 10),,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-391,True,Eye diseases,Eye diseases,direct,keyword,
OS-392,Rhesus Monkey Metabolism During Space Flight: Measurement of Energy Expenditure Using the Doubly Labeled Water (2H2 18O DLW) Method,"In theory, the energy requirements of larger mammals should be decreased in the microgravity spaceflight environment. The objective of this study was to determine the effect of spaceflight on mean daily energy expenditure in rhesus monkeys.","The doubly labeled water expenditure method for measuring energy expenditure is simple, non-invasive, and highly accurate.  If doubly labeled water is given orally, it mixes with the body water in about three hours.  The two isotopes then leave the body at different rates.  (Labeled hydrogen leaves as water, mainly in the urine, whereas labeled oxygen leaves both as water and exhaled labeled carbon dioxide).  Thus the turnover rate of isotopic hydrogen and oxygen labeled water differ, and that difference is proportional to the rate of carbon dioxide production.  Urine was used to sample the body water.  Energy expenditure was measured for the two flight monkeys over a four day period preflight.  Three days preflight the monkeys were redosed with doubly labeled water. The urine was sampled again preflight and immediately postflight.","In this experiment, the values for mean inflight energy expenditure were significantly less than the preflight values.  The approximate 30 percent decrease between the flight subjects and ground controls was found to be statistically significant.",National Aeronautics and Space Administration (NASA),Metabolism and nutrition,,,3,Final Reports of U.S. Experiments Flown on the Russian Biosatellite Cosmos 2229 (Bion 10) | Energy expenditure in rhesus monkeys (Macaca mulatta) during spaceflight using doubly labeled water | Primates in space flight,,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-392,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,direct,keyword,
